Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
24.07.2010,16.02.2010,DE,P5291,Heavy-Duty Parka,VO,C89894,208.46,USD,48,R41
30.10.2011,31.05.2010,ES,P5092,Lightweight Parka,VO,C97492,232.61,CNY,21,R10
18.04.2011,11.04.2010,IT,P8977,Heavy-Duty Parka,RO,C30938,227.89,CNY,73,R50
26.12.2011,14.08.2010,NO,P3729,Lightweight Parka,RO,C14015,385.62,CNY,62,R43
05.07.2009,28.04.2010,DE,P8899,Waterproof Parka,VO,C44147,969.33,USD,50,R4
21.11.2009,30.07.2011,FR,P5912,Lightweight Parka,RO,C14022,725.03,CNY,5,R18
27.09.2011,10.01.2010,RU,P1762,Lightweight Parka,RO,C93029,18.4,INR,24,R41
20.03.2011,08.08.2011,DE,P2194,Winter Parka,RO,C66395,394.0,INR,6,R31
20.09.2011,30.10.2011,IT,P1298,Heavy-Duty Parka,RO,C94016,319.37,EUR,71,R12
19.02.2009,04.04.2011,FI,P1215,Lightweight Parka,VO,C67170,895.32,JPY,92,R50
08.03.2010,04.02.2009,FR,P1790,Waterproof Parka,VO,C38062,452.76,CNY,11,R7
28.07.2009,14.03.2009,IT,P1719,Waterproof Parka,VO,C25858,603.88,INR,88,R8
26.10.2009,28.12.2010,NL,P9857,Waterproof Parka,VO,C32809,244.26,JPY,43,R8
29.07.2011,22.06.2011,SE,P6928,Lightweight Parka,RO,C80832,862.7,INR,15,R46
04.05.2010,18.12.2011,RU,P8237,Lightweight Parka,VO,C60561,449.11,EUR,17,R28
19.11.2010,27.08.2010,ES,P3393,Lightweight Parka,VO,C95969,925.13,CNY,56,R18
21.08.2009,18.01.2009,ES,P3171,Heavy-Duty Parka,RO,C50308,146.39,EUR,96,R34
01.04.2009,26.04.2010,NO,P6438,Heavy-Duty Parka,RO,C16333,515.24,JPY,96,R2
10.01.2010,12.04.2011,FI,P1317,Lightweight Parka,RO,C44248,315.5,CNY,86,R36
25.02.2009,28.07.2009,RU,P6994,Heavy-Duty Parka,RO,C25674,95.34,EUR,86,R3
24.12.2009,05.08.2011,IT,P2801,Winter Parka,VO,C83627,433.15,INR,72,R31
30.09.2011,29.06.2010,ES,P3684,Heavy-Duty Parka,RO,C99269,879.65,JPY,42,R19
08.06.2009,17.11.2011,NL,P3170,Lightweight Parka,RO,C50237,108.9,USD,32,R6
03.03.2010,26.11.2011,NL,P2464,Lightweight Parka,RO,C11780,273.61,INR,27,R10
22.04.2011,23.10.2010,NO,P1285,Lightweight Parka,VO,C14055,806.81,INR,69,R13
20.06.2009,22.09.2011,FI,P4893,Winter Parka,VO,C59353,902.66,CNY,4,R12
19.10.2010,06.03.2009,FR,P5576,Winter Parka,VO,C46343,365.79,EUR,73,R27
05.08.2009,09.08.2011,NO,P4391,Winter Parka,VO,C73634,907.05,USD,100,R6
13.01.2010,27.04.2010,PL,P9645,Lightweight Parka,RO,C53405,963.33,INR,13,R9
07.09.2010,29.06.2010,ES,P1202,Waterproof Parka,VO,C12318,182.0,JPY,95,R30
20.12.2011,14.07.2009,FR,P8373,Waterproof Parka,RO,C62960,151.01,USD,35,R31
08.09.2010,02.06.2009,DE,P9988,Heavy-Duty Parka,VO,C98191,307.28,USD,10,R4
11.10.2010,30.08.2010,NL,P4201,Waterproof Parka,VO,C26976,356.15,INR,17,R30
23.05.2010,03.10.2010,DE,P3758,Lightweight Parka,VO,C46981,763.5,USD,61,R25
23.08.2011,21.10.2009,SE,P8527,Winter Parka,RO,C98926,480.01,USD,33,R13
01.07.2009,12.12.2009,RU,P8096,Heavy-Duty Parka,RO,C55023,40.34,CNY,35,R28
25.06.2009,06.03.2009,NO,P5662,Lightweight Parka,VO,C39464,724.96,CNY,73,R13
04.06.2009,27.08.2009,SE,P1906,Lightweight Parka,RO,C75551,922.0,USD,48,R28
06.03.2010,07.02.2010,IT,P1643,Waterproof Parka,RO,C37218,233.49,JPY,33,R14
01.11.2010,04.04.2010,DE,P5703,Waterproof Parka,RO,C58976,812.24,EUR,18,R9
22.11.2011,27.05.2009,IT,P4833,Heavy-Duty Parka,RO,C58736,61.05,EUR,33,R8
09.01.2011,16.02.2010,SE,P7650,Waterproof Parka,VO,C79720,708.05,EUR,1,R34
01.07.2010,30.04.2009,PL,P1451,Heavy-Duty Parka,VO,C78907,665.63,EUR,30,R43
04.12.2009,11.12.2011,IT,P1642,Heavy-Duty Parka,RO,C27268,506.0,JPY,72,R21
04.11.2009,05.06.2010,FR,P1299,Heavy-Duty Parka,RO,C31460,792.3,EUR,81,R27
02.07.2009,12.03.2010,FR,P3597,Winter Parka,RO,C94618,192.62,JPY,21,R2
08.09.2010,07.02.2010,ES,P2747,Heavy-Duty Parka,VO,C22579,441.07,INR,68,R30
23.01.2010,18.08.2011,NL,P9993,Lightweight Parka,RO,C55446,106.63,USD,52,R25
16.02.2009,18.11.2010,IT,P5680,Heavy-Duty Parka,VO,C82399,928.64,EUR,96,R1
10.07.2011,14.08.2010,DE,P4336,Lightweight Parka,VO,C63943,690.83,EUR,5,R20
19.12.2011,13.07.2010,DE,P4964,Winter Parka,RO,C13724,161.32,JPY,46,R9
30.07.2010,08.11.2009,PL,P1111,Heavy-Duty Parka,VO,C58700,993.99,EUR,73,R43
22.01.2011,01.07.2009,PL,P5338,Heavy-Duty Parka,VO,C73855,820.36,INR,66,R25
18.07.2011,06.10.2011,FR,P7453,Heavy-Duty Parka,VO,C79719,163.23,CNY,57,R32
30.01.2009,14.12.2009,FI,P8356,Waterproof Parka,RO,C31670,15.26,INR,93,R10
28.01.2009,13.05.2011,FR,P2457,Heavy-Duty Parka,RO,C22116,495.51,EUR,72,R6
10.02.2010,18.07.2010,SE,P9209,Waterproof Parka,VO,C40078,909.6,USD,16,R20
24.09.2009,19.03.2009,DE,P2392,Winter Parka,RO,C60604,19.81,CNY,43,R36
13.04.2011,18.11.2011,NO,P8289,Winter Parka,VO,C87239,537.36,JPY,56,R24
28.12.2010,15.04.2011,SE,P2285,Winter Parka,RO,C77722,82.07,EUR,99,R36
15.10.2010,24.01.2009,ES,P6187,Heavy-Duty Parka,VO,C53285,773.43,JPY,93,R13
22.01.2010,29.04.2009,DE,P6795,Lightweight Parka,RO,C98721,134.83,EUR,35,R41
30.03.2011,12.06.2011,RU,P7173,Lightweight Parka,VO,C91825,447.52,JPY,12,R28
19.04.2011,21.03.2009,SE,P6304,Winter Parka,VO,C21761,215.99,JPY,34,R23
27.07.2011,08.05.2010,DE,P9028,Winter Parka,RO,C34283,352.32,EUR,84,R3
12.10.2010,02.09.2011,RU,P1906,Heavy-Duty Parka,VO,C34354,575.2,CNY,32,R15
03.12.2009,17.01.2009,NO,P4627,Heavy-Duty Parka,VO,C68001,398.4,USD,8,R21
28.09.2011,02.01.2009,FR,P2981,Heavy-Duty Parka,RO,C41998,551.86,EUR,89,R12
08.02.2009,14.11.2009,RU,P3433,Waterproof Parka,VO,C33504,545.71,INR,48,R41
08.09.2011,27.04.2009,FI,P1349,Heavy-Duty Parka,RO,C18066,641.1,CNY,86,R11
22.03.2011,08.01.2011,NO,P8378,Winter Parka,RO,C94037,135.02,EUR,91,R34
10.08.2011,14.12.2009,DE,P4890,Winter Parka,RO,C74942,759.63,EUR,2,R12
27.04.2011,01.11.2009,FI,P9757,Winter Parka,VO,C30859,960.32,CNY,80,R31
07.06.2009,15.09.2010,IT,P3968,Lightweight Parka,VO,C56473,26.07,JPY,14,R41
27.05.2010,17.01.2009,RU,P4720,Winter Parka,VO,C21751,131.0,USD,55,R50
24.10.2009,09.09.2009,NL,P6184,Waterproof Parka,VO,C13968,62.07,USD,94,R40
30.08.2010,30.12.2011,IT,P4191,Heavy-Duty Parka,RO,C14955,665.78,USD,38,R36
25.09.2010,18.12.2009,DE,P5595,Heavy-Duty Parka,RO,C12170,679.71,INR,3,R42
07.04.2009,19.01.2009,NL,P2942,Winter Parka,RO,C14961,481.21,USD,35,R24
02.11.2010,09.08.2011,RU,P2649,Winter Parka,RO,C33509,606.68,EUR,18,R5
10.12.2011,20.11.2009,RU,P9458,Waterproof Parka,VO,C64972,281.39,CNY,86,R21
14.10.2010,07.03.2011,PL,P6472,Heavy-Duty Parka,VO,C41407,53.46,JPY,83,R21
27.03.2009,28.08.2009,FR,P9080,Heavy-Duty Parka,VO,C76953,986.35,INR,94,R24
21.03.2011,15.03.2009,ES,P2403,Lightweight Parka,VO,C12836,953.65,JPY,14,R24
18.08.2009,21.06.2010,FI,P9728,Waterproof Parka,VO,C47460,189.63,EUR,35,R27
21.03.2010,28.08.2011,NL,P9985,Winter Parka,RO,C60476,459.45,JPY,43,R16
06.08.2010,10.10.2010,PL,P2344,Winter Parka,VO,C18051,433.19,EUR,57,R33
09.09.2009,08.04.2010,SE,P6943,Lightweight Parka,RO,C86158,43.64,CNY,5,R43
05.12.2009,24.02.2010,FR,P6147,Lightweight Parka,RO,C11962,256.51,INR,79,R47
30.09.2010,21.12.2011,DE,P6032,Waterproof Parka,VO,C62844,562.76,JPY,40,R7
15.07.2011,05.03.2009,FI,P8588,Lightweight Parka,RO,C44389,135.47,CNY,63,R9
05.02.2010,01.04.2011,IT,P4202,Waterproof Parka,VO,C73232,990.18,JPY,47,R5
01.10.2010,26.11.2009,RU,P9711,Lightweight Parka,RO,C60881,940.88,JPY,23,R3
01.06.2010,28.07.2010,SE,P6471,Lightweight Parka,VO,C42075,542.82,USD,58,R9
15.11.2009,27.12.2011,SE,P8448,Lightweight Parka,VO,C33974,138.68,CNY,94,R14
24.09.2009,22.04.2010,NO,P8025,Waterproof Parka,RO,C27488,704.54,USD,60,R46
01.09.2009,16.11.2011,NL,P1966,Heavy-Duty Parka,VO,C95888,157.35,JPY,72,R27
09.05.2011,25.07.2010,FI,P7036,Heavy-Duty Parka,VO,C49925,31.39,INR,71,R47
08.12.2010,11.02.2011,NO,P5975,Heavy-Duty Parka,VO,C91745,982.08,INR,22,R42
16.01.2009,23.09.2010,NL,P2007,Waterproof Parka,VO,C23463,467.44,JPY,35,R4
30.10.2011,03.10.2010,DE,P6062,Winter Parka,VO,C55594,494.76,INR,16,R29
14.07.2011,16.09.2011,FI,P3319,Winter Parka,VO,C83736,708.49,CNY,51,R35
07.12.2011,03.03.2011,RU,P7877,Lightweight Parka,RO,C73223,414.94,JPY,17,R6
29.08.2010,30.07.2009,PL,P5827,Winter Parka,RO,C65660,484.64,JPY,11,R7
13.09.2011,04.03.2010,NL,P6357,Lightweight Parka,RO,C24409,232.45,INR,62,R14
02.09.2009,12.05.2009,ES,P6995,Waterproof Parka,RO,C34512,849.42,CNY,96,R50
20.02.2011,14.02.2009,NL,P3602,Waterproof Parka,VO,C79977,636.86,CNY,68,R35
11.06.2009,16.09.2009,RU,P3772,Waterproof Parka,VO,C42970,919.02,JPY,69,R29
23.01.2009,13.03.2011,NO,P3475,Winter Parka,RO,C18537,649.48,CNY,90,R33
10.10.2011,31.12.2009,IT,P3574,Lightweight Parka,RO,C53976,417.26,INR,67,R11
23.02.2009,28.11.2009,FI,P5067,Lightweight Parka,VO,C28997,552.64,USD,97,R33
27.02.2011,06.05.2009,SE,P1434,Winter Parka,VO,C25180,644.4,USD,20,R41
22.07.2009,18.08.2009,NO,P7444,Winter Parka,VO,C75166,905.48,JPY,5,R31
05.07.2010,12.12.2010,NO,P3746,Waterproof Parka,VO,C81488,246.87,INR,40,R10
19.03.2010,24.11.2011,SE,P9738,Heavy-Duty Parka,VO,C63676,625.61,INR,24,R11
08.05.2011,01.06.2009,NL,P1565,Waterproof Parka,VO,C83024,953.48,EUR,34,R1
16.09.2010,04.10.2009,DE,P7373,Winter Parka,VO,C59694,373.75,CNY,96,R19
30.01.2010,06.03.2011,FI,P9667,Waterproof Parka,VO,C30667,84.08,INR,3,R26
11.04.2009,14.04.2011,PL,P4526,Heavy-Duty Parka,RO,C15851,751.67,CNY,71,R46
02.11.2010,15.11.2010,IT,P3502,Lightweight Parka,RO,C82385,500.83,EUR,77,R25
18.02.2011,03.11.2009,DE,P4091,Heavy-Duty Parka,RO,C94881,703.17,CNY,24,R7
08.11.2010,04.06.2011,FR,P2547,Lightweight Parka,VO,C27711,816.39,CNY,100,R46
04.02.2010,09.11.2009,NO,P9820,Waterproof Parka,RO,C67783,615.1,JPY,29,R5
08.05.2011,29.07.2011,FI,P2379,Heavy-Duty Parka,RO,C20602,797.38,USD,45,R22
18.09.2009,16.05.2011,RU,P8395,Waterproof Parka,RO,C58285,697.76,INR,98,R28
28.05.2009,08.09.2009,FR,P1567,Waterproof Parka,RO,C49842,391.61,EUR,12,R27
14.02.2009,09.04.2009,IT,P7115,Winter Parka,VO,C92137,61.57,JPY,76,R33
14.12.2011,27.08.2011,ES,P1121,Winter Parka,RO,C76282,915.44,EUR,40,R47
23.07.2011,01.12.2010,PL,P6668,Waterproof Parka,VO,C21893,268.26,EUR,74,R29
28.01.2010,25.05.2009,NO,P2102,Heavy-Duty Parka,VO,C29413,28.5,CNY,84,R34
02.06.2009,21.03.2010,FR,P2620,Winter Parka,VO,C72579,306.92,USD,6,R18
27.05.2010,15.11.2010,ES,P7680,Winter Parka,VO,C11124,709.34,USD,22,R39
06.11.2009,08.10.2011,NL,P7040,Winter Parka,VO,C31164,400.6,JPY,21,R23
05.04.2011,15.06.2010,NO,P4707,Lightweight Parka,VO,C52982,334.36,EUR,31,R18
02.09.2010,22.11.2009,FR,P9298,Heavy-Duty Parka,RO,C88620,890.39,JPY,68,R26
05.06.2009,12.09.2011,DE,P3955,Heavy-Duty Parka,VO,C37062,335.35,EUR,20,R25
27.04.2011,15.12.2010,NL,P9524,Winter Parka,RO,C81833,24.36,EUR,65,R8
16.09.2011,26.09.2009,FR,P3458,Winter Parka,VO,C39788,344.92,CNY,24,R7
17.04.2009,14.01.2009,PL,P8537,Lightweight Parka,VO,C93454,565.24,INR,17,R24
20.10.2010,06.04.2009,NL,P6272,Heavy-Duty Parka,RO,C72928,642.19,EUR,67,R42
20.01.2010,04.04.2009,PL,P8293,Heavy-Duty Parka,RO,C54733,704.84,USD,90,R7
02.10.2011,01.09.2010,PL,P2972,Winter Parka,RO,C63174,274.57,USD,86,R31
05.02.2011,23.01.2011,ES,P6980,Winter Parka,VO,C75617,835.77,USD,72,R38
24.02.2009,12.10.2011,ES,P4574,Waterproof Parka,RO,C26675,388.05,CNY,51,R16
28.04.2010,08.03.2009,FR,P8009,Waterproof Parka,VO,C34256,14.45,EUR,80,R17
26.11.2011,14.03.2011,RU,P6183,Winter Parka,RO,C11635,917.09,USD,17,R27
14.05.2010,22.01.2009,RU,P7918,Winter Parka,VO,C40870,804.82,JPY,40,R48
10.07.2009,18.01.2011,FR,P9635,Heavy-Duty Parka,RO,C32871,174.76,JPY,39,R16
24.11.2011,12.06.2011,FI,P7083,Heavy-Duty Parka,VO,C15469,927.0,EUR,43,R50
18.07.2009,05.12.2009,FI,P6209,Lightweight Parka,VO,C76176,155.51,JPY,70,R12
16.10.2010,22.05.2010,ES,P7867,Winter Parka,VO,C55602,81.29,CNY,77,R26
29.11.2009,19.02.2009,NO,P4372,Winter Parka,VO,C96537,883.7,USD,69,R37
02.02.2011,26.04.2010,PL,P5847,Waterproof Parka,RO,C33643,143.46,INR,93,R25
26.01.2011,29.12.2010,IT,P8317,Heavy-Duty Parka,VO,C82384,973.83,INR,100,R9
13.09.2011,02.08.2010,ES,P3810,Lightweight Parka,RO,C83841,474.7,INR,6,R48
27.06.2010,31.10.2011,NL,P6391,Lightweight Parka,RO,C53688,321.45,USD,7,R50
19.08.2011,29.06.2010,NL,P5560,Winter Parka,VO,C32515,491.7,JPY,53,R48
26.04.2009,07.09.2010,FI,P6020,Lightweight Parka,RO,C95558,380.85,USD,87,R36
20.06.2009,30.04.2011,PL,P3205,Winter Parka,RO,C59009,35.51,EUR,93,R47
17.08.2011,28.10.2011,NO,P3139,Winter Parka,VO,C15587,116.5,JPY,8,R30
18.02.2011,01.10.2009,IT,P9127,Winter Parka,RO,C89173,631.89,JPY,46,R37
16.07.2010,29.08.2010,NO,P6274,Waterproof Parka,VO,C77709,16.58,EUR,100,R11
26.08.2011,19.10.2010,DE,P7407,Heavy-Duty Parka,VO,C57232,270.21,EUR,4,R25
27.10.2010,03.04.2011,SE,P4448,Heavy-Duty Parka,RO,C91896,783.6,CNY,97,R30
26.05.2010,20.06.2009,FI,P4258,Lightweight Parka,VO,C81154,104.88,INR,70,R15
24.06.2009,15.03.2009,PL,P4195,Waterproof Parka,VO,C44548,907.86,CNY,90,R39
25.10.2009,06.02.2010,FI,P6888,Lightweight Parka,VO,C64193,774.76,USD,17,R45
04.05.2011,10.12.2009,NO,P1338,Winter Parka,RO,C76743,651.58,USD,17,R27
22.02.2010,29.07.2009,DE,P4521,Waterproof Parka,VO,C90792,713.29,JPY,37,R13
24.07.2009,26.08.2009,FR,P6213,Winter Parka,VO,C44180,184.35,CNY,2,R50
16.03.2011,22.09.2011,DE,P3350,Waterproof Parka,RO,C92045,301.82,JPY,17,R27
17.09.2011,25.12.2011,ES,P9081,Heavy-Duty Parka,VO,C73233,766.45,CNY,17,R26
09.03.2011,18.12.2010,FI,P8629,Winter Parka,RO,C28030,574.61,CNY,88,R13
06.03.2011,19.04.2009,PL,P8136,Heavy-Duty Parka,VO,C99872,42.32,USD,90,R26
18.08.2010,21.12.2010,FI,P8660,Winter Parka,VO,C75483,503.04,USD,24,R3
27.08.2009,24.01.2010,FR,P8977,Heavy-Duty Parka,VO,C45000,506.25,CNY,2,R48
24.04.2009,21.10.2010,NO,P5379,Heavy-Duty Parka,VO,C89173,792.53,CNY,99,R49
10.01.2010,26.01.2011,SE,P4556,Waterproof Parka,RO,C24997,450.32,JPY,22,R48
25.08.2010,26.11.2009,SE,P6179,Winter Parka,VO,C75771,67.06,EUR,72,R39
14.08.2011,04.01.2009,ES,P9138,Heavy-Duty Parka,VO,C85807,594.94,INR,63,R34
30.12.2009,29.03.2009,FR,P9616,Waterproof Parka,RO,C53847,405.27,INR,82,R28
23.11.2009,02.03.2010,FI,P5303,Lightweight Parka,VO,C64331,358.52,EUR,46,R11
26.02.2011,08.12.2009,ES,P7559,Waterproof Parka,RO,C69780,966.75,EUR,8,R6
29.04.2010,18.01.2010,SE,P2541,Lightweight Parka,VO,C55328,505.31,INR,34,R50
26.01.2009,10.09.2011,NL,P9913,Winter Parka,VO,C83470,715.27,USD,84,R7
